Artikel,Deutsch,Plural Suffix,Plural,Type,English,فارسی
der,Notizzettel,,,,piece of paper,برگه یادداشت
,notieren,,,v,note,"توجه کردن، یادداشت کردن"
das,Formular,e,Formulare,,form,فرم
der,Dialog,e,Dialoge,,dialog,دیالوگ
das,Gespräch,e,Gespräche,,conversation,مکالمه
das,Telefon,e,Telefone,,phone,تلفن
das,Telefongespräch,,,,telephone conversation,گفتگوی تلفنی
die,Zahl,en,Zahlen,,number,شماره
,zählen,,,v,to count,شمردن
,Afrika,,,,africa,آفریقا
,Amerika,,,,america,آمریکا
,Asien,,,,asia,آسیا
,Australien,,,,australia,استرالیا
,Europa,,,,europe,اروپا
,Deutschland,,,,germany,آلمان
,Deutsch,,,,german,زبان آلمانی
der,Deutscher,,,,german,ملیت آلمانی
die,Deutsche,,,,german,ملیت آلمانی
das,Foto,s,Fotos,,photo,عکس
die,Million,en,Millionen,,million,میلیون
die,Milliarde,n,Milliarden,,billion,میلیارد
,arbeiten,,,v,work,كار كردن
,begrüßen,,,v,greet,سلام کردن
,heißen,,,v,be called,نامیدن
,kommen,,,v,come,آمدن
,korrigieren,,,v,correct,درست کردن
,malen,,,v,paint,رنگ‌آمیزی
,passen,,,v,fit,اندازه بودن
,sammeln,,,v,collect,جمع‌آوری كردن
,sein,,,v,be,بودن
,tauschen,,,v,swap,جابجا کردن
,vorstellen,,,v,introduce,شناساندن
,haben,,,v,have,داشته باشند
,gut,,,adj,good,خوب
,neu,,,adj,new,جدید
,richtig,,,adj,correct,درست
,auch,,,,also,همچنین
,einmal,,,,once,یک بار
,noch,,,,still,هنوز
,zusammen,,,,together,با هم
,aus,,,,out of,خارج از
,in,,,,in,در
,wie,,,,how,چگونه
,wo,,,,where,کجا
,woher,,,,from where,از کجا؟
,Herzlich Willkommen,,,,welcome,خوش آمدید
,Freut mich,,,,Pleased to meet you,از دیدار شما خوشحالم
,viel Spaß,,,,have fun,خوش بگذره
der,Kontinent,e,Kontinente,,continent,قاره
das,Land,Länder,,,country,کشور
die,Verabschiedung,,,,farewell,خداحافظی
,gut,,,adj,good,خوب
das,Geschäft,,,,business,دادوستد
,bilden,,,v,form,ساختن
,schreiben,,,v,write,بنویس
das,Paar,e,Paare,,couple,زوج
,privat,,,,private,خصوصی
die,Tageszeit,en,Tageszeiten,,time of day,اوقات روز
der,Morgen,,,,morning,صبح
der,Vormittag,,,,late morning,پیش از ظهر
der,Nachmittag,,,,afternoon,بعد از ظهر
der,Abend,,,,evening,عصر
die,Nacht,,,,night,شب
,morgens,,,,morning,صبح‌ها
,vormittags,,,,morning,پیش از ظهرها
,mittags,,,,midday,ظهر
,nachmittags,,,,afternoon,بعد از ظهر
,abends,,,,at evening,عصر
,nachts,,,,at night,شب هنگام
der,Wochentag,,,,weekday,روز هفته
der,Montag,e,Montage,,monday,دوشنبه
der,Dienstag,e,Dienstage,,tuesday,سه‌شنبه
der,Mittwoch,e,Mittwoche,,wednesday,چهارشنبه
der,Donnerstag,e,Donnerstage,,thursday,پنجشنبه
der,Freitag,e,Freitage,,friday,جمعه
der,Samstag,e,Samstage,,saturday,شنبه
der,Sonntag,e,Sonntage,,sunday,یکشنبه
der,Monat,e,Monate,,month,ماه
der,Januar,e,Januare,,january,ژانویه
der,Februar,e,Februare,,february,فوریه
der,März,e,Märze,,march,مارس
der,April,e,Aprile,,april,آوریل
der,Mai,e,Maie,,may,مه
der,Juni,s,Junis,,june,ژوئن
der,Juli,s,Julis,,july,جولای
der,August,e,Auguste,,august,مرداد
der,September,-,,,september,سپتامبر
der,Oktober,-,,,october,اکتبر
der,November,-,,,november,نوامبر
der,Dezember,-,,,december,دسامبر
die,Jahreszeit,,,,season,فصل
der,Frühling,e,Frühlinge,,spring,بهار
der,Sommer,-,,,summer,تابستان
der,Herbst,e,Herbste,,autumn,پاییز
der,Winter,-,,,winter,زمستان
das,Datum,Daten,,,date,تاریخ
die,Zahl,en,Zahlen,,number,شماره
die,Jahreszahl,,,,year number,سال به عدد
die,Zeit,en,Zeiten,,time,زمان
die,Uhrzeit,,,,hour,ساعت
der,Kalender,-,,,calendar,تقویم
,,,,,,
der,Termin,e,Termine,,appointment,قرار ملاقات
der,Terminkalender,,,,the appointment calendar,تقویم قرار ملاقات
der,Tag,e,Tage,,day,روز
der,Feiertag,,,,holiday,تعطیلات
die,Woche,n,Wochen,,week,هفته
das,Wochenende,n,Wochenenden,,weekend,آخر هفته
der,Monat,e,Monate,,month,ماه
das,Jahr,e,Jahre,,year,سال
der,Anfang,,,,beginning,آغاز
das,Ende,,,,end,پایان
,heute,,,adv,today,امروز
,morgen,,,adv,tomorrow,فردا
die,Kultur,,,,culture,فرهنگ
das,Kino,s,Kinos,,cinema,سینما
der,Film,e,Filme,,film,فیلم
der,Actionfilm,,,,action film,فیلم اکشن
der,Kinofilm,,,,movie,فیلم
die,Ausstellung,en,Ausstellungen,,exhibition,نمایشگاه
das,Museum,Museen,,,museum,موزه
der,Band,Bände,,,publication group,گروه انتشارات
die,Band,s,Bands,,music band,گروه موسیقی
das,Band,Bänder,,,band,"نوار،روبان"
die,Musikgruppe,n,Musikgruppen,,music group,گروه موسیقی
das,Leid,er,Leider,,sorrow,غم و اندوه
,singen,,,v,sing,آواز خواندن
der,Gesang,e,Gesange,,singing,آواز
der,Chor,Chöre,,,choir,همسرایان
das,Konzert,e,Konzerte,,concert,کنسرت
die,CD,s,CDs,,cd,سی دی
der,Hit,s,Hits,,hit,آهنگ پرفروش روز
der,Stil,e,Stile,,style,آراستگی
das,Chanson,s,Chansons,,song,ترانه
der,Jazz,,,,jazz,جاز
die,Klassik,,,,classical,کلاسیک
die,Popmusik,,,,pop music,موسیقی پاپ
die,Rockmusik,,,,rock music,موسیقی راک
der,Urlaub,e,Urlaube,,vacation,تعطیلات
der,Ausflug,Ausfüge,,,excursion,گردش
,Urlaub machen,,,,to go on vacation,به تعطیلات رفتن
,in Urlaub fahren,,,,to go on vacation by vehicle,به تعطیلات رفتن با خودرو
,nach Hause fahren,,,,drive back home,به خانه برگشتن
der,Sport,,,,sport,ورزش
das,Cafe,s,Cafes,,cafe,قهوه‌خانه
das,Essen,-,,,food,خوراك
das,Restaurant,s,Restaurants,,restaurant,رستوران
das,Hotel,s,Hotels,,hotel,هتل
die,Kathedrale,n,Kathedralen,,cathedral,کلیسای جامع
der,Markt,Märkte,,,market,بازار
der,Park,s,Parks,,park,پارک
die,Natur,,,,nature,طبیعت
das,Wetter,,,,weather,آب و هوا
der,Regen,,,,rain,باران
die,Sonne,,,,sun,خورشید
das,Grad,e,Grade,,degree,مدرک
der,Chef,s,Chefs,,boss,رئیس
die,Chefin,nen,Chefinnen,,boss,رئیس
der,Direktor,en,Direktoren,,director,کارگردان
die,Direktorin,nen,Direktorinnen,,director,کارگردان
der,Flug,Flüge,,,flight,پرواز
der,Kollege,n,Kollegen,,colleague,همکار
die,Kollegin,nen,Kolleginnen,,colleague,همکار
die,Besprechung,en,Besprechungen,,meeting,نشست
die,Konferenz,,,,conference,همایش
die,Telefonkonferenz,,,,telephone conference,همایش تلفنی
das,Treffen,,,,meet,دیدار كردن
,blöd,,,,stupid,احمق
,super,,,,super,فوق العاده
,toll,,,,great,عالی
,interessant,,,,interesting,جالب
,langweilig,,,,boring,خسته کننده
,gut,,,,good,خوب
,schlecht,,,,bad,بد
,schön,,,,nice,خوب
,schrecklich,,,,terrible,وحشتناک
das,Auto,s,Autos,,car,ماشین
der,Beginn,,,,beginn,بگین
der,Freund,e,Freunde,,friend,دوست
die,Freundin,nen,Freundinnen,,girlfriend,دوست دختر
der,Friseur,e,Friseure,,barber,آرایشگر
die,Friseurin,nen,Friseurinnen,,hairdresser,آرایشگر
der,Geburtstag,e,Geburtstage,,birthday,تولد
der,Gruß,Grüße,,,greeting,احوالپرسی
die,Karte,n,Karten,,card,کارت
der,Mensch,en,Menschen,,person,شخص
die,Mutter,Mütter,,,mother,مادر
der,Vater,Väter,,,father,پدر
die,Öffnungszeit,en,Öffnungszeiten,,opening hours,ساعات کاری
das,Plakat,e,Plakate,,poster,آگهی دیواری
die,SMS,-,,,sms,پیامک
das,Tier,e,Tiere,,animal,حیوان
der,Zettel,-,,,piece of paper,تكه‌كاغذ
das,Verb,en,Verben,,verb,فعل
,beginnen,,,,start,آغاز کردن
,besuchen,,,,visit,بازدید کردن
,brauchen,,,,need,نیاز داشتن
,finden,,,,find,پیدا کردن
,funktionieren,,,,function,کار کردن
,geben,,,,give,دادن
,Es gibt,,,,there are,وجود دارد
,geboren sein,,,,to be born,به دنیا آمدن
,gehen,,,,go,رفتن
,gründen,,,,found,تاسیس کردن
,grüßen,,,,greet,سلام کردن
,haben,,,,have,داشته باشند
,kennen,,,,know,بدانید
,lernen,,,,learn,یاد گرفتن
,machen,,,,"make, do","كردن, ساختن, انجام دادن, درست كردن"
,planen,,,,plan,برنامه ریزی کردن
,präsentieren,,,,present,ارائه دادن
,produzieren,,,,produce,تولید كردن
,telefonieren,,,,make a phone call,تماس تلفنی برقرار کنید
,zeigen,,,,show,نشان دادن
,falsch,,,,incorrect,نادرست
,klein,,,,small,کوچک
,nett,,,,nice,خوش ایند
,populär,,,,popular,محبوب
,privat,,,,private,خصوصی
,sicher,,,,secure,امن
,teuer,,,,expensive,گران
,typisch,,,,typical,ساده
,erst,,,,first,یکم
,gern,,,,gladly,با کمال میل
,hoffentlich,,,,hopefully,امیدوارم
,leider,,,,unfortunately,متاسفانه
,noch,,,,still,هنوز
,schon,,,,already,پیش از این
,sehr,,,,very,خیلی
,am,,,,at,در
,im,,,,in the,در
,mit,,,,with,با
,nach,,,,after,بعد از
,seit,,,,since,از آنجایی که
,um,,,,to,به
,von,,,,from,از
,bis,,,,until,تا
,vom,,,,from the,از
,bis zum,,,,until,تا
,wer,,,,who,چه کسی
,was,,,,what,چه
,wann,,,,when,چه زمانی
die,Lust,,,,desire,میل
,,,,,,
das,Obst,,,,fruit,میوه
der,Apfel,Äpfel,,,apple,اپل
die,Banane,n,Bananen,,banana,موز
die,Erdbeere,n,Erdbeeren,,strawberry,توت فرنگی
die,Orange,n,Orangen,,orange,نارنجی
das,Gemüse,,,,vegetables,سبزیجات
die,Erbse,n,Erbsen,,pea,نخود فرنگی
die,Gurke,n,Gurken,,cucumber,خیار
die,Karotte,n,Karotten,,carrot,هویج
der,Salat,e,Salate,,lettuce,کاهو
die,Tomate,n,Tomaten,,tomato,گوجه فرنگی
die,Zwiebel,n,Zwiebeln,,onion,پیاز
die,Beilage,,,,side dish,مخلفات
die,Kartoffel,n,Kartoffeln,,potato,سیب زمینی
die,Nudel,n,Nudeln,,noodle,رشته فرنگی
der,Reis,,,,rice,برنج
die,Milchprodukte,,,,dairy products,محصولات لبنی
die,Butter,,,,butter,کره
der,Käse,-,,,cheese,پنیر
der,Emmentaler Käse,-,,,emmental cheese,نوعی پنیر سوییسی با حفره های زیاد
der,Joghurt,s,Joghurts,,yogurt,ماست
die,Milch,,,,milk,شیر
die,Sahne,,,,cream,کرم
die,Backwaren,,,,baked goods,کالاهای پخته شده
das,Brot,e,Brote,,bread,نان
das,Brötchen,-,,,bread rolls,نان رول
der,Kuchen,-,,,cake,کیک
die,Fleischwaren,,,,meat products,محصولات گوشتی
das,Fleisch,,,,meat,گوشت
das,Steak,s,Steaks,,steak,استیک
die,Wurst,Würste,,,sausage,سوسیس
der,Fisch,,,,fish,ماهی
der,Lachs,,,,salmon,ماهی سالمون
der,Thunfisch,,,,tuna,ماهی تن
das,Gewürz,e,Gewürze,,spice,ادویه
das,Salz,,,,salt,نمک
der,Pfeffer,,,,pepper,فلفل
der,Zucker,,,,sugar,شکر
die,Süßwaren,,,,confectionery,محصولات قنادی
das,Eis,,,,ice,یخ
der,Keks,e,Kekse,,biscuit,بیسکویت
die,Praline,n,Pralinen,,praline,شکلات دانه ای
die,Schokolade,n,Schokoladen,,chocolate,شکلات
,sonstig,,,,other,دیگر
die,Chips,,,,chips,چیپس
das,Ei,er,Eier,,egg,تخم مرغ
die,Marmelade,n,Marmeladen,,jam,مربا
das,Mehl,,,,flour,آرد
die,Pizza,s,Pizzas,,pizza,پیتزا
der,Senf,,,,mustard,خردل
das,Getränk,,,,beverage,نوشیدنی
der,Kaffee,,,,coffee,قهوه
der,Saft,Säfte,,,juice,آبمیوه
das,Wasser,,,,water,آب
der,Wein,e,Weine,,wine,شراب
,kaufen,,,v,shopping,خرید کردن
,einkaufen,,,v,do shopping,خرید کردن
der,Einkauf,Einkäufe,,,shopping,خرید
der,Einkaufszettel,-,,,shopping list,لیست خرید
der,Kunde,n,Kunden,,customer,مشتری
die,Kundin,nen,Kundinnen,,customer,مشتری
der,Verkäufer,-,,,salesperson,فروشنده
die,Verkäuferin,nen,Verkäuferinnen,,saleswoman,فروشنده
der,Supermarkt,Supermärkte,,,supermarket,سوپرمارکت
die,Konserve,n,Konserven,,can,کنسرو
die,Tiefkühlkost,,,,frozen food,غذای منجمد
die,Theke,n,Theken,,counter,پیشخوان
das,Angebot,e,Angebote,,offer,پیشنهاد
die,Durchsage,n,Durchsagen,,announcement,اطلاعیه
der,Preis,e,Preise,,price,قیمت
der,Prospekt,e,Prospekte,,brochure,دفتر‌چه راهنما
die,Verpackung,,,,packaging,بسته بندی
das,Gewicht,,,,weight,وزن
der,Becher,-,,,mug,لیوان
das,Bund,e,Bunde,,federal,فدرال
die,Dose,n,Dosen,,tin,قوطی
die,Flasche,n,Flaschen,,bottle,بطری
das,Glas,Gläser,,,glass,شیشه
der,Kasten,Kästen,,,crate,جعبه
das,Netz,e,Netze,,net bag,کیسه توری
die,Packung,en,Packungen,,pack,بسته
das,Päckchen,-,,,parcel,بسته كوچك
der,Sack,säcke,,,bag,کیسه
die,Schachtel,n,Schachteln,,box,جعبه
das,Stück,e,Stücke,,piece,قطعه
die,Tafel,n,Tafeln,,bar,قالب تخته ای
die,Tube,n,Tuben,,tube,لوله
die,Tüte,n,Tüten,,bag,کیف
das,Gramm,,,,grams,گرم
das,Kilogramm,,,,kilogram,کیلوگرم
das,Kilo,,,,kilo,کیلو
das,Pfund,,,,pound,پوند
der,Liter,,,,liter,لیتر
die,Familie,,,,family,خانواده
der,Verwandte,n,Verwandten,,relative,خویشاوند
die,Eltern,,,,parents,والدین
der,Vater,Väter,,,father,پدر
die,Mutter,Mütter,,,mother,مادر
die,Großeltern,,,,grandparents,پدربزرگ و مادربزرگ
der,Großvater,Großväter,,,grandfather,پدربزرگ
die,Großmutter,Großmütter,,,grandmother,مادربزرگ
der,Opa,s,Opas,,grandpa,پدربزرگ
die,Oma,s,Omas,,granny,مادربزرگ
das,Kind,er,Kinder,,child,کودک
das,Baby,s,Babys,,baby,نوزاد
der,Junge,n,Jungen,,boy,پسر
das,Mädchen,-,,,girl,دختر
der,Sohn,Söhne,,,son,پسر
die,Tochter,Töchter,,,daughter,دختر
der,Enkel,-,,,grandson,نوه
die,Enkelin,nen,Enkelinnen,,granddaughter,نوه دختر
das,Enkelkind,er,Enkelkinder,,grandchild,نوه
die,Geschwister,,,,siblings,خواهر و برادر
der,Bruder,Brüder,,,brother,برادر
die,Schwester,n,Schwestern,,sister,خواهر
der,Onkel,-,,,uncle,عمو
die,Tante,n,Tanten,,aunt,عمه
der,Neffe,n,Neffen,,nephew,برادرزاده
die,Nichte,n,Nichten,,niece,خواهرزاده
der,Cousin,s,Cousins,,cousin,پسرعمو
die,Cousine,n,Cousinen,,cousin,پسرعمو
der,Schwager,Schwäger,,,brother-in-law,برادر شوهر
die,Schwägerin,nen,Schwägerinnen,,sister-in-law,خواهر شوهر
der,Schwiegervater,Schwiegerväter,,,father-in-law,پدر شوهر
die,Schwiegermutter,Schwiegermütter,,,mother-in-law,مادر شوهر
der,Mann,Männer,,,man,مرد
die,Frau,en,Frauen,,woman,زن
der,Beruf,e,Berufe,,profession,حرفه
der,Altenpfleger,-,,,geriatric nurse,پرستار سالمند
die,Altenpflegerin,nen,Altenpflegerinnen,,geriatric nurse,پرستار سالمند
der,Architekt,en,Architekten,,architect,معمار
die,Architektin,nen,Architektinnen,,architect,معمار
der,Arzt,Ärzte,,,doctor,پزشک
die,Ärztin,nen,Ärztinnen,,woman doctor,پزشک زن
der,Bürokaufmann,Bürokaufmänner,,,office clerk,کارمند اداری
die,Bürokauffrau,en,Bürokauffrauen,,office clerk,کارمند اداری
der,Informatiker,-,,,computer scientist,دانشمند کامپیوتر
die,Informatikerin,nen,Informatikerinnen,,computer scientist,دانشمند کامپیوتر
der,Journalist,en,Journalisten,,journalist,روزنامه‌نگار
die,Journalistin,nen,Journalistinnen,,journalist,روزنامه‌نگار
der,Lehrer,-,,,teacher,معلم
die,Lehrerin,nen,Lehrerinnen,,teacher,معلم
der,Putzmann,Putzmänner,,,cleaner,پاک کننده
die,Putzfrau,en,Putzfrauen,,cleaning lady,نظافتچی خانم
der,Verkäufer,-,,,salesperson,فروشنده
die,Verkäuferin,nen,Verkäuferinnen,,saleswoman,فروشنده
der,Werbefachmann,Werbefachmänner,,,advertising professional,متخصص تبلیغات
die,Werbefachfrau,en,Werbefachfrauen,,advertising professional,متخصص تبلیغات
den,Haushalt machen,,,,doing housework,انجام کارهای خانه
,kochen,,,,cook,آشپز
,backen,,,,bake,پخت
das,Frühstück machen,,,,make breakfast,صبحانه درست کردن
den,Tisch decken,,,,set the table,میز غذاخوری را چیدن
,aufstehen,,,,stand up,ایستادن
,wecken,,,,wake up,بیدار شدن
die,Kinder betreuen,,,,childcare,مراقبت کردن از بچه ها
,frei haben,,,,To be off,وقت آزاد داشتن
,nomen,,,,noun,اسم
das,Au-pair,s,Au-pairs,,au pair,جفت AU
die,Grafik,en,Grafiken,,graphic,گرافیک
die,Zeichnung,,,,drawing,نقاشی
das,Prozent,,,,percent,درصد
das,Problem,e,Probleme,,problem,مشکل
die,Schule,n,Schulen,,school,مدرسه
,essen,,,v,eat,خوردن
,trinken,,,v,drink,نوشیدن
,besprechen,,,v,discuss,گفت‌وگو کردن
,erzählen,,,v,tell,گفتن
,kosten,,,v,cost,هزینه
,tun,,,v,do,انجام دادن
,vergleichen,,,v,compare,مقایسه كردن
,alt,,,adj,old,قدیمی
,schnell,,,adj,fast,سریع
,günstig,,,adj,cheap,ارزان
,anders,,,adv,different,متفاوت
,oft,,,adv,often,اغلب
,immer,,,adv,always,همیشه
,fast,,,adv,almost,تقریباً
,möglich,,,adv,possible,ممکن
,nicht mehr,,,adv,no longer,دیگر نه
,nebenan,,,adv,next door,همسایگی
,gegenüber,,,adv,opposite,مقابل
,alles,,,,everything,همه چیز
das,Wenig,,,,few,تعداد کمی
,Wie viel,,,,how much,چقدر؟
,Wie viele,,,,how many,چند تا؟
,Geht das?,,,,is that possible?,آیا چنین چیزی ممکن است؟
,Alles klar,,,,understood,فهمیده شد
,ich muss schluss machen,,,,i have to stop.,باید بس کنم.
,im Haus,,,,in the house,در خانه
,zu Hause,,,,at home,در خانه
,,,,,,
die,Sportart,en,Sportarten,,sport,ورزش
,joggen,,,v,jog,دویدن آهسته
das,Jogging,,,,jogging,دویدن آهسته
,laufen,,,v,run,دویدن
das,Rad,Räder,,,wheel,چرخ
das,Fahrrad,Fahrräder,,,bicycle,دوچرخه
das,Mountainbike,s,Mountainbikes,,mountain bike,دوچرخه کوهستان
das,Radfahren,,,,ride a bike,دوچرخه سواری کردن
die,Gymnastik,,,,gymnastics,نرمش
die,Rückengymnastik,,,,back exercises,تمرینات کمر
,Gymnastik machen,,,,do gymnastics,نرمش کردن
,rudern,,,v,rowing,پارو زدن
,reiten,,,v,ride,اسب سواری كردن
,schwimmen,,,v,to swim,شنا كردن
,Badminton,,,,badminton,بدمینتون
der,Fußball,,,,football,فوتبال
der,Handball,,,,handball,هندبال
das,Tennis,,,,tennis,تنیس
das,Tischtennis,,,,table tennis,تنیس روی میز
,turnen,,,v,do gymnastics,نرمش کردن
das,Turnen,,,,gymnastics,نرمش
das,Hobby,s,Hobbys,,hobby,سرگرمی
das,Theater,,,,theater,تئاتر
das,Kino,,,,cinema,سینما
die,Oper,,,,opera,اپرا
das,Fernsehen,,,,tv,تلویزیون
,Fernsehen schauen,,,,watch tv,تلویزیون تماشا کردن
die,Musik,,,,music,موسیقی
,Musik hören,,,,listen to music,به موسیقی گوش دهید
die,Gitarre,,,,guitar,گیتار
,Gitarre spielen,,,,play guitar,گیتار زدن
das,Klavier,,,,piano,پیانو
,Klavier spielen,,,,play the piano,پیانو بنواز
,tanzen,,,v,dance,رقص
der,Salsa,s,Salsas,,salsa,سالسا
,zeichnen,,,v,draw,نقاشی كردن
die,Tour,en,Touren,,tour,سفر تفریحی
,Tour machen,,,,take a tour,سفر تفریحی انجام دادن
der,Sport,,,,sport,ورزش
der,Mannschaftssport,,,,team sport,ورزش تیمی
der,Individualsport,,,,individual sport,ورزش انفرادی
,treiben,,,v,to drive,واداشتن
das,Treiben,,,,driveing,واداشتن
,Sport treiben,,,,to do sports,ورزش کردن
,fit sein,,,,be fit,تناسب اندام داشتن
der,Verein,e,Vereine,,association,انجمن
,Sportverein,,,,sports club,باشگاه ورزشی
das,Fitness-Studio,s,Fitness-Studios,,gym,باشگاه ورزشی
die,Halle,n,Hallen,,hall,سالن
die,Sporthalle,,,,sports hall,سالن ورزشی
die,Mannschaft,en,Mannschaften,,team,تیم
das,Spiel,e,Spiele,,game,بازی
der,Spieler,-,,,player,بازیکن
die,Spielerin,nen,Spielerinnen,,player,بازیکن
,spielen,,,v,play,بازی کردن
,mitspielen,,,v,play a part,نقش بازی کردن
der,Profi,s,Profis,,professional,حرفه ای
der,Fan,s,Fans,,fan,فن
das,Training,s,Trainings,,training,آموزش
das,Probetraining,,,,trial training,آموزش آزمایشی
das,Fitnesstraining,,,,fitness training,آموزش تناسب اندام
,trainieren,,,v,train,تمرین کردن
der,Muskelkater,,,,sore muscles,عضلات دردناک
der,Triathlon,s,Triathlons,,triathlon,تریاتلون
der,Triathlet,en,Triathleten,,#VALUE!,ورزشکار سه‌گانه
die,Triathletin,nen,Triathletinnen,,triathlete,ورزشکار سه‌گانه
der,Marathon,s,Marathons,,marathon,ماراتن
der,Start,s,Starts,,start,شروع
,starten,,,v,start,شروع کردن
das,Startgeld,er,Startgelder,,entry fee,هزینه ورود
das,Ziel,e,Ziele,,goal,هدف
der,Sieg,e,Siege,,victory,پیروزی
der,Sieger,-,,,winner,برنده
die,Siegerin,nen,Siegerinnen,,winner,برنده
die,Strecke,n,Strecken,,route,مسیر
der,Rekord,e,Rekorde,,record,ثبت
der,Platz,,,,place,مکان
die,Abkürzung,en,Abkürzungen,,abbreviation,مخفف
die,Anzeige,n,Anzeigen,,advertisement,تبلیغات
das,Buch,Bücher,,,book,کتاب
der,Flyer,-,,,flyer,برگه‌ی آگهی
die,Überschrift,en,Überschriften,,headline,تیتر خبر
die,Zeitung,en,Zeitungen,,newspaper,روزنامه
der,Zeitungartikel,-,,,newspaper article,مقاله روزنامه
das,Kind,er,Kinder,,child,کودک
der,Jugendliche,n,Jugendlichen,,youth,جوانان
der,Erwachsene,n,Erwachsenen,,adult,بزرگسال
der,Rentner,-,,,pensioner,مستمری بگیر
die,Rentnerin,nen,Rentnerinnen,,pensioner,مستمری بگیر
das,Publikum,,,,audience,بینندگان و شنوندگان
der,Applaus,,,,applause,تشویق
der,Anmeldung,en,Anmeldungen,,registration,ثبت نام
der,Beitrag,Beiträge,,,contribution,مشارکت
der,Jahresbeitrag,,,,annual fee,مشارکت سالانه
der,Mitgliedsbeitrag,,,,membership fee,هزینه عضویت
die,Ermäßigung,en,Ermäßigungen,,discount,تخفیف
das,Gefühl,e,Gefühle,,feeling,احساس
,fühlen,,,v,feel,احساس کردن
das,Interesse,n,Interessen,,interest,علاقه
der,Kilometer,-,,,kilometers,کیلومتر
der,Kontakt,e,Kontakte,,contact,تماس گرفتن
die,Minute,n,Minuten,,minute,دقیقه
die,Sekunde,n,Sekunden,,second,دوم
der,Organisator,en,Organisatoren,,organizer,سازمان دهنده
die,Sache,n,Sachen,,thing,چیز
der,Schuh,e,Schuhe,,shoe,کفش
der,Schüler,-,,,student,دانش آموز
die,Schülerin,nen,Schülerinnen,,student,دانش آموز
das,Sofa,s,Sofas,,sofa,مبل راحتی
,bekommen,,,v,receive,دریافت كردن
,bezahlen,,,v,pay,پرداخت كردن
,erlauben,,,v,allow,اجازه دادن
,fahren,,,v,drive,رانندگی کردن
,feiern,,,v,celebrate,جشن گرفتن
,klappen,,,v,succeed,موفق شدن
,klingen,,,v,sound,به صدا درآمدن
,mitkommen,,,v,come with me,به همراه آمدن
,motivieren,,,v,motivate,انگیزه دادن
,organisieren,,,v,organize,سازماندهی كردن
,passieren,,,v,happen,اتفاق افتادن
,putzen,,,v,cleaning,تمیز کردن
,schaffen,,,v,create,ایجاد کردن
,schlafen,,,v,sleep,خوابیدن
,schauen,,,v,look,نگاه كردن
,sehen,,,v,see,دیدن
,stürzen,,,v,fall,افتادن
,suchen,,,v,seek,جستجو كردن
,treffen,,,v,meet,دیدار كردن
,wissen,,,v,knowledge,دانستن
,wünschen,,,v,wish,آرزو كردن
,begeistert,,,adj,enthusiastic,مشتاق
,blöd,,,adj,stupid,احمق
,fit,,,adj,fit,مناسب
,glücklich,,,adj,happy,خوشحال
,zufrieden,,,adj,satisfied,راضی
