Artikel,Deutsch,Plural Suffix,Plural,Type,English,فارسی
,symbolisieren,,,v,symbolize,نمادسازی کردن
die,Dekoration,en,Dekorationen,,decoration,آذین
,dekorieren,,,v,decorate,آذین کردن
,schmücken,,,v,embellish,آراستن
,schenken,,,v,give as a present,پیشکش دادن
,typisch,,,adj,typical,"بهنجار،همانند همیشه"
die,Frucht,Früchte,Früchte,,fruit,میوه
das,Getreide,-,-,,grain,غلات
der,Gänsebraten,-,-,,roast goose,غاز کباب شده
der,Kuchenteig,e,Kuchenteige,,cake batter,خمیر کیک
der,Lebkuchen,,,,gingerbread,شیرینی زنجفیلی
,Nürnberger Lebkuchen,,,,nuremberg gingerbread,نان زنجبیلی نورنبرگ
die,Teigtasche,n,Teigtaschen,,dumpling,پیراشکی
,sonstiges,,,adj,miscellaneous,متفرقه
,sonstig,,,adj,other,دیگر
die,Absage,n,Absagen,,cancellation,لغو
die,Zusage,n,Zusagen,,commitment,تعهد
das,Dorf,Dörfer,Dörfer,,village,روستا
das,Feuer,-,-,,fire,آتش
das,Feuerwerk,e,Feuerwerke,,fireworks,آتش بازی
das,Gästezimmer,,,,guest room,اتاق مهمان
der,Garten,Gärten,Gärten,,garden,باغ
das,Geschäft,e,Geschäfte,,business,کسب و کار
der,Himmel,-,-,,heaven,بهشت
die,Hoffnung,en,Hoffnungen,,hope,امید
das,Kochbuch,Kochbück,Kochbück,,cookbook,کتاب آشپزی
das,Konfetti,s,Konfettis,,confetti,کاغذرنگی های ریز که بر سر افراد می ریزند
die,Luftschlange,n,Luftschlangen,,paper streamer,رشته های کاغذ رنگی
die,Krankheit,en,Krankheiten,,illness,بیماری
die,Mitternacht,,,,midnight,نیمه شب
der,Mond,e,Monde,,moon,ماه
der,Nachbar,n,Nachbarn,,neighbor,همسایه
die,Nachbarin,nen,Nachbarinnen,,neighbor,همسایه
das,Parfum,s,Parfums,,perfume,عطر
der,Reiseführer,,,,travel guide,راهنمای سفر
der,Rest,e,Reste,,rest,باقی مانده
der,Schutz,,,,protection,حفاظت
der,Sprung,Sprünge,Sprünge,,jump,جهش
der,Tanz,Tänze,Tänze,,dance,رقص
der,Teil,e,Teile,,part,قسمت
der,Landesteil,e,Landesteile,,region,منطقه
das,Zeichen,,,,sign,نشانه
das,Schriftzeichen,,,,character,نویسه
das,Zelt,e,Zelte,,tent,چادر
,absagen,,,v,cancel,رد کردن
,zusagen,,,v,commit,مرتکب شدن
,annehmen,,,v,accept,پذیرفتن
,anzünden,,,v,light,آتش زدن
,brechen,,,v,break,شكستن
,buchen,,,v,book,جا نگه داشتن
,erinnern,,,v,remember,چیزی را به‌ یاد آوردن
,färben,,,v,dye,رنگرزی
,Ski fahren,,,pv,ski,اسکی کردن
,sprechen über,,,pv,talk about,صحبت کردن در مورد
,übernachten,,,pv,stay overnight,شب را به سر بردن
,verstecken,,,v,hide,پنهان كردن
,vorhaben,,,v,plan,قصد داشتن
,vorschlagen,,,v,suggest,پیشنهاد دادن
,wiegen,,,v,weigh,وزن کردن
,zusammenhängen,,,pv,be joined,به یکدیگر پیوستن
,germanisch,,,adj,germanic,آلمانی
,keltisch,,,adj,celtic,مربوط به مردم سلت
,böse,,,adj,evil,شر
,gemeinsam,,,adj,common,همگانی
,gemütlich,,,adj,cozy,دنج
,gut,,,adj,good,خوب
,besser,,,adj,better,بهتر
,link,,,adj,link,پیوند
,persönlich,,,adj,personal,شخصی
,telefonisch,,,adj,by phone,از طریق تلفن
,wahrscheinlich,,,adj,probably,احتمالاً
,wichtig,,,adj,important,مهم
,früher,,,adv,earlier,زودتر
,eventuell,,,adv,possibly,شاید
,kaum,,,adv,barely,به سختی
,manchmal,,,adv,sometimes,گاهی اوقات
,mehrmals,,,adv,several times,چندین بار
,unbedingt,,,adv,absolutely,بی چون و چرا
,,,,,,
die,Lage,n,Lagen,,location,موقعیت
das,Stadtviertel,-,-,,city district,منطقه شهری
der,Kreis,e,Kreise,,circle,دایره
das,Quartier,e,Quartiere,,quarter,ربع
der,Verkehr,-,-,,traffic,ترافیک
die,Verkehrsverbindung,en,Verkehrsverbindungen,,transport link,نقظه اتصال حمل و نقل
die,Haltestelle,n,Haltestellen,,stop,ایستگاه
die,Einkaufsmöglichkeit,en,Einkaufsmöglichkeiten,,shopping facilities,امکانات خرید
der,Ausblick,e,Ausblicke,,outlook,چشم‌انداز
,gelegen,,,adj,"located,opportune","واقع شده،مناسب"
,günstig,,,adj,good geal,قیمت مناسب
,ruhig,,,adj,quiet,ساکت
,zentral,,,adj,central,مرکزی
die,Miete,n,Mieten,n,rent,اجاره
die,Monatsmiete,,,,monthly rent,اجاره ماهانه
die,Netto-miete,,,,net rent,اجاره خالص
die,Grundmiete,,,,basic rent,اجاره پایه
die,Kaltmiete,,,,base rent,اجاره پایه
die,Basismiete,,,,base rent,اجاره پایه
der,Mietzins,e,Mietzinse,,rent,اجاره
die,Nebenkosten,,,,extra costs,هزینه‌های اضافی
,inklusive,,,,including,از جمله
die,Kaution,en,Kautionen,,deposit,واریز
die,Ablöse,,,,transfer fee,هزینه انتقال
der,Vermieter,-,-,,landlord,صاحبخانه
die,Vermieterin,nen,Vermieterinnen,,landlady,صاحبخانه
,vermieten,,,v,rent,اجاره کردن
der,Mieter,-,-,,tenant,مستاجر
die,Mieterin,nen,Mieterinnen,,tenant,مستاجر
der,Vormittag,,,,late morning,اواخر صبح
der,Nachmittag,,,,afternoon,بعد از ظهر
,mieten,,,v,rent,اجاره دادن
die,Hausordnung,en,Hausordnungen,,house rules,قوانین ساختمان
der,Vertrag,Vertäge,Vertäge,,contract,قرارداد
,Mietvertrag,,,,rental agreement,قرارداد اجاره
,ausfüllen,,,v,fill out,پر كردن
,unbefristet,,,,for unlimited priod,برای مدت زمان نامحدود
der,Familienstand,,,,marital status,وضعیت تأهل
der,Zivilstand,,,,marital status,وضعیت تأهل
,ledig,,,adj,single,مجرد
,verheiratet,,,adj,married,ازدواج کرده
,geschieden,,,adj,divorced,طلاق گرفته
,verwitwet,,,adj,widowed,بیوه
der,Einzugstermin,e,Einzugstermine,,move-in date,تاریخ ورود
,aussehen,,,v,look,نگاه كردن
,einsehen,,,v,view,متوجه شدن
,umsehen,,,v,look around,بررسی اطراف
,möblieren,,,v,furnish,مبله کردن
,teilmöbliert,,,adj,partially furnished,نیمه مبله
,renovieren,,,v,renovate,نوسازی کردن
das,Gebäude,,,,building,ساختمان
der,Altbau,ten,Altbauten,,old building,ساختمان قدیمی
der,Neubau,ten,Neubauten,,new building,ساختمان جدید
das,Haus,Häuser,Häuser,,house,خانه
das,Geschäftshaus,,,,commercial building,ساختمان تجاری
das,Hochhaus,,,,high-rise building,ساختمان بلند
das,Mehrfamilienhaus,,,,apartment building,ساختمان آپارتمانی
das,Reihenhaus,,,,row house,خانه ردیفی
die,Etage,n,Etagen,,floor,کف
das,Geschoss,e,Geschosse,,floor,طبقه
das,Geschoß,e,Geschoße,,floor,طبقه
das,Erdgeschoss,,,,ground floor,طبقه همکف
das,Obergeschoss,,,,upper floor,طبقه بالا
das,Dachgeschoss,,,,attic,اتاق زیر شیروانی
das,Stockwerk,e,Stockwerke,,floor,کف
,#NAME?,,,,floor as suffix,طبفه (به شکل پسوند)
das,Dach,Dächer,Dächer,,roof,سقف
der,Aufzug,Aufzüge,Aufzüge,,elevator,آسانسور
der,Lift,e,Lifte,,lift,بالابر
die,Treppe,n,Treppen,,stairs,پله‌ها
das,Treppenhaus,Treppenhäuser,Treppenhäuser,,stairwell,راه پله
der,Hof,Höfe,Höfe,,yard,حیاط
der,Balkon,e,Balkone,,balcony,بالکن
die,Terrasse,n,Terrassen,,terrace,ایوان
die,Tiefgarage,n,Tiefgaragen,,underground parking garage,پارکینگ زیرزمینی
der,Parkplatz,Parkplätze,Parkplätze,,parking,پارکینگ
die,Mülltonne,n,Mülltonnen,,garbage can,سطل آشغال
die,Wohnung,en,Wohnungen,,apartment,آپارتمان
der,Abstellraum,Abstellräume,Abstellräume,,storage room,اتاق انبار
der,Flur,e,Flure,,hallway,راهرو
der,Korridor,e,Korridore,,corridor,راهرو
das,Zimmer,Zimmer,Zimmer,,room,اتاق
das,Schlafzimmer,,,,bedroom,اتاق خواب
das,Wohnzimmer,,,,living room,اتاق نشیمن
das,Kinderzimmer,,,,children's room,اتاق بچه ها
der,Keller,Keller,Keller,,cellar,زیرزمین
der,Kellerraum,Kellerräume,Kellerräume,,basement room,اتاق زیرزمین
die,Waschküche,n,Waschküchen,,laundry room,اتاق رختشویی
das,WC,s,WCs,,wc,توالت فرنگی
die,Wand,Wände,Wände,,wall,دیوار
das,Fenster,-,-,,window,پنجره
der,Kamin,e,Kamine,,chimney,دودکش
das,Kamin,e,Kamine,,chimney,دودکش
der,Boden,Böden,Böden,,soil,خاک
das,Laminat,e,Laminate,,laminate,روکش
das,Parkett,s,Parketts,,parquet,پارکت
der,Schlüssel,Schlüssel,Schlüssel,,key,کلید
die,Einrichtung,en,Einrichtungen,,furnishings,اسباب
die,Schrankwand,Schrankwände,Schrankwände,,wall unit,کمد دیواری
die,Decke,n,Decken,,"ceiling,blanket","پتو،سقف"
der,Schreibtischstuhl,Schreibtischstühle,Schreibtischstühle,,desk chair,صندلی اداری
die,Couch,s,Couchs,,couch,کاناپه
der,Spiegel,Spiegel,Spiegel,,mirror,آینه
der,Teppich,e,Teppiche,,carpet,فرش
das,Bad,Bäder,Bäder,,bath,حمام
die,Küche,n,Küchen,,kitchen,آشپزخانه
die,Badewanne,n,Badewannen,,bathtub,وان حمام
das,Waschbecken,Waschbecken,Waschbecken,,bathroom sink,سینک حمام
der,Herd,e,Herde,,stove,اجاق گاز
der,Kühlschrank,Kühlschränke,Kühlschränke,,refrigerator,یخچال
die,Kaffeemaschine,n,Kaffeemaschinen,,coffee machine,دستگاه قهوه
die,Spüle,n,Spülen,,sink,سینک ظرفشویی
die,Steckdose,n,Steckdosen,,power outlet,پریز برق
die,Himmelsrichtung,en,Himmelsrichtungen,,cardinal direction,جهت های اصلی
der,Norden,,,,north,شمال
der,Süden,,,,south,جنوب
der,Osten,,,,east,شرق
der,Westen,,,,west,غرب
,nördlich,,,adj,northern,شمالی
,südlich,,,adj,southern,جنوب
,östlich,,,adj,eastern,شرقی
,westlich,,,adj,western,غرب
,sonstiges,,,,miscellaneous,متفرقه
das,Nomen,,,,noun,اسم
der,Abschied,e,Abschiede,,farewell,وداع
das,Allgemeine,,,,general,عمومی
die,Bank,en,Banken,,bank,بانک
die,Deutsche Bank,en,Deutsche Banken,,deutsche bank,دویچه بانک
die,Besichtigung,en,Besichtigungen,,sightseeing,گشت و گذار
das,Ende,n,Enden,,end,پایان
die,Fantasie,n,Fantasien,,fantasy,فانتزی
die,Höhe,n,Höhen,,height,ارتفاع
das,Kaufhaus,Kaufhäuser,Kaufhäuser,,department store,فروشگاه بزرگ
die,Katze,n,Katzen,,cat,گربه
der,Lärm,,,,noise,نویز
die,Buslinie,n,Buslinien,,bus route,مسیر اتوبوس
der,See,n,Seen,,lake,دریاچه
die,See,,,,see,دریا
die,Promenade,n,Promenaden,,promenade,تفرجگاه
die,Flaniermeile,,,,promenade,تفرجگاه
die,Stelle,n,Stellen,,position,موقعیت
der,Müll,,,,garbage,زباله
die,Sauberkeit,,,,cleanliness,پاکیزگی
die,Seite,n,Seiten,,page,صفحه
die,Sicherheit,en,Sicherheiten,,security,امنیت
der,Vorteil,e,Vorteile,,advantage,مزیت
der,Nachteil,e,Nachteile,,disadvantage,نقطه ضعف
das,Verb,en,Verben,,verb,فعل
,hängen,,,v,hang,آویزان
,liegen,,,v,"lie,to be located","دراز کشیدن،در جایی گذاشته شده باشد"
,legen,,,v,"lay,to place",در جایی گذاردن
,stehen,,,v,stand,ایستاده
,stellen,,,v,place,قرار دادن
,hinstellen,,,v,stand,زمین گذاشتن
,bestehen,,,v,consist,تشکیل شدن
,klingeln,,,v,ring,زنگ زدن
,teilen,,,v,split,جدا شدن
,umarmen,,,v,embrace,در آغوش گرفتن
,verschenken,,,v,to give away,چیزی را بخشیدن
,wirken,,,v,"work,have an effect",اثر داشتن
,direkt,,,adj,direct,مستقیم
,eng,,,adj,"narrow,tight","باریک،تنگ"
,fest,,,adj,firm,محکم
,möglich,,,adj,possible,امكان پذیر
,praktisch,,,adj,practical,کاربردی
Das,Recht,,,,"right,law","حق،قانون"
,recht,,,adj,right,درست
,rechts,,,adv,right,راست (جهت)
,links,,,adv,left,چپ (جهت)
,scheußlich,,,adj,hideous,شنیع
,wunderschön,,,adj,beautiful,زیبا
,spitz,,,adj,pointed,تیز
,flach,,,adj,flat,مسطح
,besonders,,,adv,particularly,به ویژه
,brutto,,,adv,gross,ناخالص
,netto,,,adv,net,خالص
,gut,,,adj,good,خوب
,besser,,,adj,better,بهتر
,am besten,,,,best,بهترین
,sofort,,,adv,immediately,بلافاصله
,quer,,,adj,across,"مورّب، به صورت عرضی"
,mehrere,,,pron,several,چندین
,an,,,prep,to,به
,auf,,,prep,on,روی
,hinter,,,prep,behind,پشت
,vor,,,prep,before,قبل از
,neben,,,prep,next to,در کنار
,unter,,,prep,under,تحت
,über,,,prep,above,بالا
,zwischen,,,prep,between,بین
,,,,,,
,wohnen,,,v,reside,زندگی كردن
der,Bau,ten,Bauten,,building,ساختمان
die,Kneipe,n,Kneipen,,bar,میخانه
der,Karneval,s,Karnevals,,carnival,کارناوال
der,Rosenmontagszug,Rosenmontagszüge,Rosenmontagszüge,,Shrove Monday procession,رژه دوشنبه گل/توبه
der,Aschermittwoch,e,Aschermittwoche,,ash wednesday,چهارشنبه خاکستر
die,Hochschule,n,Hochschulen,,college,کالج
der,Abschlusstest,s,Abschlusstests,,final test,آزمون نهایی
die,Akademie,n,Akademien,,academy,آکادمی
die,Universität,en,Universitäten,,university,دانشگاه
das,Fach,Fächer,Fächer,,academic subject,رشته دانشگاهی
das,Studium,Studien,Studien,,studies,پژوهش
,studieren,,,v,study,یاد گرفتن
der,Studierende,n,Studierenden,,student,دانشجو
die,Studierende,n,Studierenden,,student,دانشجو
der,Student,en,Studenten,,student,دانشجو
die,Studentin,nen,Studentinnen,,student,دانشجو
die,Gebühr,en,Gebühren,,fee,هزینه
die,Studiengebühr,en,Studiengebühren,,tuition fees,شهریه
die,Bibliothek,en,Bibliotheken,,library,کتابخانه
das,Wohnheim,e,Wohnheime,,dormitory,خوابگاه
die,Sprache,n,Sprachen,,language,زبان
der,Dialekt,e,Dialekte,,dialect,گویش
die,Färbung,en,Färbungen,,coloring,رنگ آمیزی
das,Hochdeutsch,,,,standard German,آلمانی استاندارد
die,Kommunikation,,,,communication,ارتباط
das,Kommunikationsmittel,,,,means of communication,وسایل ارتباطی
das,Interview,s,Interviews,,interview,مصاحبه
der,laut,e,laute,,loud,با صدای بلند
,klingen,,,v,sound,به صدا درآمدن
,putzen,,,v,cleaning,تمیز کردن
,abwaschen,,,v,wash,شستشو
,aufräumen,,,v,tidy,مرتب كردن
,einräumen,,,v,put in,سر جای خود گذاشتن
,ausräumen,,,v,clear out,بیرون بردن
,entsorgen,,,v,dispose,دور انداختن
,rausbringen,,,v,release,بیرون اوردن
,staubsaugen,,,v,vacuuming,باجاروی برقی تمیز کردن
das,Altpapier,,,,waste paper,کاغذ باطله
der,Geschirrspüler,Geschirrspüler,Geschirrspüler,,dishwasher,ماشین ظرفشویی
das,Putzmittel,Putzmittel,Putzmittel,,cleaning products,محصولات پاک کننده
das,Spülmittel,Spülmittel,Spülmittel,,dish soap,مایع ظرفشویی
der,jahresputz,,,,annual cleaning,نظافت سالانه
der,Alltag,,,,everyday,روزمره
das,Ausland,,,,abroad,خارج از کشور
der,Besuch,e,Besuche,,visit,بازدید کردن
der,Besucher,Besucher,Besucher,,visitor,بازدید کننده
die,Besucherin,nen,Besucherinnen,,visitor,بازدیدکننده
der,Bürger,Büger,Büger,,citizen,شهروند
die,Bügerin,nen,Bügerinnen,,citizen,شهروند
die,Erfahrung,en,Erfahrungen,,experience,تجربه
die,Haustür,en,Haustüren,,front door,درب ورودی
die,Häufigkeit,,,,frequency,تناوب
die,Kosten,,,,cost,هزینه
die,Heizkosten,,,,heating costs,هزینه‌های گرمایش
der,Höhepunkt,e,Höhepunkte,,highlight,برجسته کردن
der,klub,s,klubs,,club,باشگاه
die,Literatur,en,Literaturen,,literature,ادبیات
die,Meinung,en,Meinungen,,opinion,نظر
der,Reporter,Reporter,Reporter,,reporter,خبرنگار
die,Reporterin,nen,Reporterinnen,,reporter,خبرنگار
der,Ruf,e,Rufe,,call,صدا
die,Sammlung,en,Sammlungen,,collection,مجموعه
die,Stadtsparkasse,n,Stadtsparkassen,,municipal savings bank,بانک پس انداز شهرداری
die,Suche,n,Suchen,,search,جستجو
die,Tatsache,n,Tatsachen,,fact,واقعیت
der,Tourist,en,Touristen,,tourist,گردشگر
die,Touristin,nen,Touristinnen,,tourist,گردشگر
der,Umzug,Umzüge,Umzüge,,relocation,جابجایی
der,Vergleich,e,Vergleiche,,comparison,مقایسه
das,Video,s,Videos,,video,ویدئو
der,Witz,e,Witze,,joke,شوخی
der,Zeitpunkt,e,Zeitpunkte,,time,زمان
,absolvieren,,,v,complete,بانجام رساندن
,anbieten,,,v,offer,پیشنهاد کردن
,aufschließen,,,v,unlock,باز کردن قفل
,anmachen,,,v,switch on,روشن كردن لامپ
,einschalten,,,v,turn on,روشن کردن
,deutlich machen,,,v,make clear,واضح کردن
,dran sein,,,v,to be one's turn,نوبتِ کسی بودن
,erholen,,,v,recover,بهبود یافتن
,erinnern,,,v,remember,یادآوری کردن
,erklären,,,v,explain,شرح دادن
,erkennen,,,v,recognize,تشخیص دادن
,freuen,,,v,be happy,خوشحال بودن
,fühlen,,,v,feel,احساس كردن
,halten,,,v,hold,متوقف كردن
,hoffen,,,v,hope,امید داشتن
,husten,,,v,cough,سرفه كردن
,kennen,,,v,know,بدانید
,kennenlernen,,,v,get to know,آشنا شدن
,klagen,,,v,complain,شكایت كردن
,meinen,,,v,mean,منظور داشتن
,marken,,,v,branding,نشان گذاری کردن
,mitlachen,,,v,to laugh along (with others),همراه دیگران خندیدن
,sorgen machen,,,v,to worry,نگران بودن
,verändern,,,v,change,تغییر دادن
,verbessern,,,v,improve,بهبود بخشیدن
,vorbei sein,,,v,be over,تمام شدن
,verstellen,,,v,adjust,میزان کردن
,weggehen,,,v,leave,بیرون رفتن
,wiedersehen,,,v,see you again,دوباره دیدار كردن
,Zeit nehmen,,,v,take your time,وقت گذاشتن
,abwechselnd,,,adv,alternately,به طور متناوب
,alltäglich,,,adj,everyday,روزمره
,anstrengend,,,adj,strenuous,طاقت فرسا
,attraktiv,,,adj,attractive,جذاب
,ausländisch,,,adj,foreign,خارجی
,bedeutend,,,adj,significant,مهم
,beliebt,,,adj,popular,محبوب
,besonder,,,adj,special,ویژه
,echt,,,adj,real,واقعی
,einsam,,,adj,lonely,تنها
,frustrierend,,,adj,frustrating,کلافه کننده
,knapp,,,adj,meagre,ناچیز
,lebendig,,,adj,lively,سرزنده
,letzt,,,adv,last,آخرین
,nächst,,,prep,next,بعدی
,übernächste,,,adj,next but one,بعدی اما یکی
,sympathisch,,,adj,friendly,دوست داشتنی
,weltweit,,,adj,worldwide,جهانی
,wichtig,,,adj,important,مهم
,unwichtig,,,adj,unimportant,بی‌اهمیت
,anders,,,adv,different,متفاوت
,außerdem,,,adv,besides,علاوه براین
,extra,,,adj,extra,اضافی
,inzwischen,,,adv,in the meantime,در این میان
,meistens,,,adv,mostly,عمدتاً
,mindestens,,,adv,at least,حداقل
,weg,,,adv,away,دور
,zurzeit,,,adv,currently,فعلاً
,einige,,,pron,some,برخی
,in der Nähe,,,p,close by,نزدیک
,am Ende,,,p,in the end,در نهایت
,,,,,,
der,Blick,e,Blicke,,look,نگاه
das,Feld,er,Felder,,field,مزرعه
die,Bank,en,Banken,,bank,بانک
das,Kreditinstitut,e,Kreditinstitute,,credit institution,موسسه اعتباری
der,Kunde,n,Kunden,,customer,مشتری
die,Kundin,nen,Kundinnen,,customer,مشتری
der,Privatkunde,n,Privatkunden,,private customer,مشتری خصوصی
der,Online-Kunde,n,Online-Kunden,,online customer,مشتری آنلاین
der,Online-Terminal,s,Online-Terminals,,online terminal,ترمینال آنلاین
der,Geldautomat,en,Geldautomaten,,atm,خودپرداز
das,Bankgeschäft,e,Bankgeschäfte,,banking business,کسب و کار بانکی
der,Schalter,Schalter,Schalter,,counter,گیشه
der,Bankschalter,Bankschalter,Bankschalter,,bank counter,گیشه بانک
das,Bargeld,,,,cash,پول نقد
die,Bedingung,en,Bedingungen,,condition,شرط
die,Gebühr,en,Gebühren,,fee,هزینه
die,Quittung,en,Quittungen,,receipt,قبض
die,EC-Karte,n,EC-Karten,,debit card,کارت بانکی
die,Kreditkarte,n,Kreditkarten,,credit card,کارت اعتباری
das,Konto,Konten,Konten,,account,حساب کاربری
das,Girokonto,Girokonten,Girokonten,,current account,حساب جاری
das,Sparkonto,Sparkonten,Sparkonten,,savings account,حساب پس‌انداز
das,Tagesgeld,Tagesgelder,Tagesgelder,,overnight money,پول یک شبه
die,Bankverbindung,en,Bankverbindungen,,bank details,جزئیات بانک
die,Kontonummer,en,Kontonummeren,,account number,شماره حساب
die,Bankleitzahl,en,Bankleitzahlen,,bank code,شماره شناسایی بانک
die,Geheimzahl,en,Geheimzahlen,,PIN,شماره شناسایی ویژه
die,PIN,s,PINs,,PIN,شماره شناسایی ویژه
der,Kontostand,Kontoständ,Kontoständ,,account balance,موجودی حساب
die,Kontoführung,en,Kontoführungen,,account management,مدیریت حساب
,Online-Banking machen,,,,make online banking,بانکداری آنلاین انجام دهید
der,Zins,en,Zinsen,,interest,بهره
,anlegen,,,v,invest,سرمایه‌گذاری کردن
,abheben,,,v,withdraw,برداشت كردن
,einzahlen,,,v,deposit,سپرده کردن
,eröffnen,,,v,open,باز
,überweisen,,,v,transfer,انتقال دادن
die,Überweisung,en,Überweisungen,n,transfer,انتقال
,sperren,,,v,lock out,قفل کردن
die,Zahlung,en,Zahlungen,,payment,پرداخت
,kostenfrei,,,adj,free of charge,رایگان
,kostenlos,,,adj,for free,به صورت رایگان
,kurzfristig,,,adj,short term,کوتاه مدت
der,Bankautomat,,,,atm,خودپرداز
,Karte einführen,,,,insert card,کارت را وارد کنید
,PIN eingeben,,,,enter pin,پین را وارد کنید
,Betrage wählen,,,,choose amount,مبلغ را انتخاب کنید
,Karte entnehmen,,,,take map,کارت را بردارید
,Geld entnehmen,,,,withdraw money,برداشت پول
,anklicken,,,v,click,کلیک کردن
,aufdrücken,,,v,press,فشار دادن
die,Anzeige,n,Anzeigen,n,"advertisement,complaint","شكایت،آگهی"
der,Auswies,e,Auswiese,,id card,کارت شناسایی
,anzeigen,,,v,complaint,شكایت كردن
,erstatten,,,v,reimburse,بازپرداخت کردن
der,Dieb,e,Diebe,,thief,دزد
,stehlen,,,v,steal,دزدی كردن
der,Polizist,en,Polizisten,,policeman,پلیس
die,Polizistin,nen,Polizistinnen,,policewoman,پلیس زن
das,Geschlecht,er,Geschlechter,,gender,جنسیت
,männlich,,,adj,masculine,مردانه
,weiblich,,,adj,female,زن
das,Fundbüro,s,Fundbüros,,lost and found office,دفتر اشیای گم شده
der,Finderlohn,Finderlöhne,Finderlöhne,,finder’s reward,پاداش یابنده
,ehrlich,,,adj,honest,صادق
die,Anrede,n,Anreden,,salutation,سلام و احوالپرسی
der,Angestellte,n,Angestellten,,employee,کارمند
der,Auftraggeber,Auftraggeber,Auftraggeber,,client,مشتری
der,Empfänger,Empfänger,Empfänger,,recipient,گیرنده
der,Ausgang,Ausgänge,Ausgänge,,exit,خروج
der,Autor,en,Autoren,,author,نویسنده
die,Autorin,nen,Autorinnen,,author,نویسنده
der,Bericht,e,Berichte,,report,گزارش
die,Bestechung,en,Bestechungen,,bribery,رشوه
das,Blatt,Blätter,Blätter,,sheet,ورق
die,Buchhandlung,en,Buchhandlungen,,bookstore,کتابفروشی
die,Daten,,,,data,داده‌ها
die,Erde,n,Erden,,earth,زمین
der,Erfolg,e,Erfolge,,success,موفقیت
das,Fachwort,Fachwörter,Fachwörter,,technical term,اصطلاح فنی
die,Firma,Firmen,Firmen,,company,شرکت
die,Freiheit,en,Freiheiten,,freedom,آزادی
das,Gasthaus,Gasthäuser,Gasthäuser,,inn,مسافرخانه
das,Gedränge,Gedränge,Gedränge,,hustle,جنب‌و‌جوش
das,Gefängnis,se,Gefängnisse,,jail,زندان
das,Geschäft,e,Geschäfte,,business,کسب و کار
das,Gewissen,Gewissen,Gewissen,,conscience,وجدان
das,Gold,,,,gold,طلا
der,Hausschlüssel,Hausschlüssel,Hausschlüssel,,house key,کلید خانه
das,Herz,en,Herzen,,heart,قلب
die,Hexe,n,Hexen,,witch,جادوگر
der,Inhalt,e,Inhalte,,contents,فهرست مطالب
die,Innenstadt,Innenstädte,Innenstädte,,city ​​center,مرکز شهر
der,Kern,e,Kerne,,core,هسته
der,König,e,Könige,,king,پادشاه
der,Krimi,s,Krimis,,crime novel,داستان جنایی
das,Märchen,,,,fairy tale,افسانه
die,Pfeife,n,Pfeifen,,pipe,لوله
das,Portemonnaie,s,Portemonnaies,,wallet,کیف پول
der,Richter,Richter,Richter,,judge,قاضی
die,Richterin,nen,Richterinnen,,judge,قاضی
der,Vorfall,Vorfälle,Vorfälle,,incident,حادثه
die,Werbung,en,Werbungen,,advertising,تبلیغ
